username,user_rating,first_line_percentage,second_line_percentage,third_line_percentage,bad_moves_percentage
Ucitel,2708,63.64,20.45,9.09,6.82
Ucitel,2712,42.86,28.57,28.57,0.00
Ucitel,2718,78.57,0.00,17.86,3.57
Ucitel,2711,55.56,22.22,13.89,8.33
Ucitel,2706,71.79,5.13,5.13,17.95
Ucitel,2709,77.14,8.57,14.29,0.00
Ucitel,2701,67.65,8.82,5.88,17.65
Ucitel,2699,62.96,14.81,7.41,14.81
Ucitel,2704,58.06,19.35,16.13,6.45
Ucitel,2697,71.43,7.14,7.14,14.29
Ucitel,2702,78.43,11.76,9.80,0.00
Ucitel,2704,70.73,12.20,14.63,2.44
Ucitel,2694,68.92,16.22,4.05,10.81
Ucitel,2697,57.89,15.79,26.32,0.00
Ucitel,2701,64.38,4.11,30.14,0.00
Ucitel,2693,61.29,16.13,6.45,16.13
Ucitel,2698,76.47,5.88,17.65,0.00
Ucitel,2698,75.00,8.33,2.78,13.89
Ucitel,2708,54.55,18.18,27.27,0.00
Ucitel,2708,72.73,9.09,9.09,9.09
Ucitel,2707,82.05,7.69,7.69,2.56
Ucitel,2706,86.67,3.33,0.00,10.00
Ucitel,2705,70.00,15.00,6.67,8.33
Ucitel,2705,80.00,16.00,0.00,4.00
Ucitel,2704,78.69,8.20,8.20,4.92
Ucitel,2703,71.70,18.87,3.77,5.66
Ucitel,2703,93.94,3.03,0.00,3.03
Ucitel,2703,75.00,4.17,8.33,12.50
Ucitel,2702,74.24,6.06,4.55,15.15
Ucitel,2702,96.43,3.57,0.00,0.00
Ucitel,2707,61.29,6.45,25.81,6.45
Ucitel,2706,70.83,12.50,16.67,0.00
Ucitel,2697,84.21,10.53,5.26,0.00
Ucitel,2702,74.29,11.43,14.29,0.00
Ucitel,2707,40.00,10.00,50.00,0.00
Ucitel,2711,77.78,3.70,11.11,7.41
Ucitel,2716,71.43,11.90,9.52,7.14
Ucitel,2720,72.22,14.81,9.26,3.70
Ucitel,2719,89.47,7.02,3.51,0.00
Ucitel,2724,66.67,6.06,18.18,9.09
Ucitel,2729,71.43,9.52,2.38,16.67
Ucitel,2733,70.37,0.00,29.63,-3.70
Ucitel,2733,81.25,3.12,3.12,12.50
Ucitel,2733,88.00,8.00,4.00,0.00
Ucitel,2733,87.88,9.09,0.00,3.03
Ucitel,2733,78.79,6.06,0.00,15.15
Ucitel,2733,75.00,8.33,4.17,12.50
Ucitel,2735,76.00,4.00,16.00,4.00
Ucitel,2738,70.00,6.67,23.33,0.00
Ucitel,2732,75.00,12.50,5.00,7.50
Ucitel,2737,75.86,10.34,13.79,0.00
Ucitel,2729,82.61,7.25,4.35,5.80
Ucitel,2726,79.31,13.79,5.17,1.72
Ucitel,2732,60.00,20.00,13.33,6.67
Ucitel,2737,66.67,16.67,16.67,0.00
Ucitel,2743,59.26,11.11,22.22,7.41
Ucitel,2737,65.91,13.64,9.09,11.36
Ucitel,2742,58.18,14.55,25.45,1.82
Ucitel,2748,56.41,15.38,12.82,12.82
Ucitel,2753,50.77,12.31,35.38,1.54
Ucitel,2747,93.33,3.33,3.33,0.00
Ucitel,2741,61.29,11.29,4.84,22.58
Ucitel,2735,86.96,4.35,0.00,8.70
Ucitel,2729,61.36,6.82,18.18,13.64
Ucitel,2734,57.89,13.16,13.16,13.16
Ucitel,2733,80.77,9.62,7.69,1.92
Ucitel,2727,83.05,3.39,6.78,6.78
Ucitel,2721,69.09,10.91,10.91,9.09
Ucitel,2726,63.89,5.56,25.00,5.56
Ucitel,2407,73.91,13.04,8.70,4.35
Ucitel,2723,81.97,3.28,3.28,11.48
Ucitel,2721,100.00,0.00,0.00,0.00
Ucitel,2713,84.85,6.06,6.06,3.03
Ucitel,2717,78.48,7.59,10.13,3.80
Ucitel,2710,85.71,14.29,0.00,0.00
Ucitel,2714,71.43,14.29,14.29,0.00
Ucitel,2707,60.87,6.52,17.39,15.22
Ucitel,2706,60.00,20.00,15.00,5.00
Ucitel,2705,75.61,4.88,7.32,12.20
Ucitel,2704,57.89,15.79,15.79,10.53
Ucitel,2703,85.44,4.85,1.94,7.77
Ucitel,2702,82.14,14.29,0.00,3.57
Ucitel,2702,70.37,12.35,1.23,16.05
Ucitel,2702,88.37,4.65,4.65,2.33
Ucitel,2701,80.26,10.53,1.32,7.89
Ucitel,2701,62.50,9.38,9.38,18.75
Ucitel,2701,82.69,7.69,1.92,7.69
Ucitel,2701,78.57,10.71,3.57,7.14
Ucitel,2694,75.00,8.33,5.56,11.11
Ucitel,2694,78.33,6.67,10.00,5.00
Ucitel,2688,71.05,15.79,13.16,0.00
Ucitel,2693,63.64,9.09,15.15,12.12
Ucitel,2686,85.71,4.76,9.52,0.00
Ucitel,2688,63.64,0.00,31.82,4.55
Ucitel,2693,78.95,10.53,10.53,0.00
Ucitel,2698,51.43,20.00,25.71,2.86
Ucitel,2692,78.79,12.12,3.03,6.06
Ucitel,2697,56.00,20.00,24.00,0.00
Ucitel,2690,76.32,13.16,5.26,5.26
Ucitel,2695,63.46,13.46,23.08,0.00
Ucitel,2700,69.23,7.69,23.08,0.00
Ucitel,2704,64.29,17.86,7.14,10.71
Ucitel,2707,65.22,17.39,13.04,4.35
Ucitel,2712,74.36,10.26,15.38,0.00
Ucitel,2704,92.31,0.00,7.69,0.00
Ucitel,2407,70.00,20.00,5.00,5.00
Ucitel,2407,60.34,17.24,3.45,18.97
Ucitel,2407,75.76,12.12,3.03,9.09
Ucitel,2407,78.26,8.70,13.04,0.00
Ucitel,2698,68.75,6.25,21.88,3.12
Ucitel,2703,64.86,5.41,18.92,10.81
Ucitel,2696,81.82,18.18,0.00,0.00
Ucitel,2689,91.43,2.86,0.00,5.71
Ucitel,2693,61.11,5.56,27.78,5.56
Ucitel,2685,78.26,4.35,8.70,8.70
Ucitel,2690,64.52,9.68,25.81,-3.23
Ucitel,2684,83.33,5.56,0.00,11.11
Ucitel,2678,83.67,8.16,2.04,6.12
Ucitel,2672,78.05,14.63,2.44,4.88
Ucitel,2664,73.21,8.93,10.71,7.14
Ucitel,2661,89.06,1.56,1.56,7.81
Ucitel,2653,73.91,2.17,9.78,14.13
Ucitel,2644,77.97,10.17,8.47,3.39
Ucitel,2647,69.57,8.70,21.74,0.00
Ucitel,2639,80.00,14.29,0.00,5.71
Ucitel,2634,65.62,18.75,9.38,6.25
Ucitel,2627,78.12,12.50,0.00,9.38
Ucitel,2620,60.00,15.00,17.50,7.50
Ucitel,2625,61.29,12.90,6.45,19.35
Ucitel,2630,62.07,6.90,27.59,3.45
Ucitel,2636,67.24,13.79,8.62,10.34
Ucitel,2629,86.21,6.90,6.90,0.00
Ucitel,2634,70.27,8.11,21.62,0.00
Ucitel,2628,72.22,2.78,8.33,16.67
Ucitel,2632,66.67,18.52,14.81,0.00
Ucitel,2625,71.88,15.62,12.50,0.00
Ucitel,2625,92.16,3.92,3.92,0.00
Ucitel,2630,80.00,12.00,4.00,4.00
Ucitel,2635,68.00,12.00,20.00,0.00
Ucitel,2629,78.38,2.70,13.51,5.41
Ucitel,2634,70.83,16.67,8.33,4.17
Ucitel,2639,75.95,6.33,11.39,6.33
Ucitel,2644,69.23,7.69,19.23,3.85
Ucitel,2639,68.00,16.00,12.00,4.00
Ucitel,2633,86.84,0.00,2.63,10.53
Ucitel,2638,68.18,4.55,22.73,4.55
Ucitel,2632,72.41,10.34,0.00,17.24
Ucitel,2626,78.38,10.81,10.81,0.00
Ucitel,2631,73.68,10.53,15.79,0.00
Ucitel,2624,80.00,10.00,5.00,5.00
Ucitel,2629,55.00,10.00,30.00,5.00
Ucitel,2633,73.68,0.00,26.32,0.00
Ucitel,2639,53.19,8.51,10.64,27.66
Ucitel,2632,73.13,8.96,16.42,1.49
Ucitel,2625,68.63,15.69,7.84,7.84
Ucitel,2628,74.29,5.71,17.14,2.86
Ucitel,2621,76.32,13.16,2.63,7.89
Ucitel,2627,55.81,23.26,18.60,2.33
Ucitel,2620,70.00,23.33,0.00,6.67
Ucitel,2626,63.24,14.71,22.06,0.00
Ucitel,2626,81.67,10.00,8.33,0.00
Ucitel,2605,90.91,3.03,3.03,3.03
Ucitel,2605,72.73,18.18,9.09,0.00
Ucitel,2603,76.00,12.00,12.00,0.00
Ro_ro2,858,62.96,0.00,22.22,14.81
Ro_ro2,864,64.29,3.57,17.86,14.29
Ro_ro2,855,50.00,30.00,0.00,20.00
